trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
14831020,10,1,East - 10 Van Horne towards Victoria Park,,1,100111,shp-10-03,1
25432020,10,1,East - 10 Van Horne towards Victoria Park,,1,100111,shp-10-03,1
25416020,10,1,East - 10 Van Horne towards Victoria Park,,1,100111,shp-10-03,1
26028020,10,1,East - 10 Van Horne towards Victoria Park,,1,100111,shp-10-03,1
23955020,10,1,East - 10 Van Horne towards Victoria Park,,1,100112,shp-10-03,1
29130020,10,1,East - 10 Van Horne towards Victoria Park,,1,100111,shp-10-03,1
41803020,10,1,East - 10 Van Horne towards Victoria Park,,1,100111,shp-10-03,1
38575020,10,1,East - 10 Van Horne towards Victoria Park,,1,100112,shp-10-03,1
52594020,10,1,East - 10 Van Horne towards Victoria Park,,1,100111,shp-10-04,1
48038020,10,1,East - 10 Van Horne towards Victoria Park,,1,100112,shp-10-03,1
66473020,10,1,East - 10 Van Horne towards Victoria Park,,1,100112,shp-10-03,1
51839020,10,1,East - 10 Van Horne towards Victoria Park,,1,100112,shp-10-03,1
79460020,10,1,East - 10 Van Horne towards Victoria Park,,1,100112,shp-10-03,1
49111020,10,1,East - 10 Van Horne towards Victoria Park,,1,100112,shp-10-03,1
83745020,10,1,East - 10 Van Horne towards Victoria Park,,1,100112,shp-10-03,1
77297020,10,1,East - 10 Van Horne towards Victoria Park,,1,100111,shp-10-03,1
81389020,10,1,East - 10 Van Horne towards Victoria Park,,1,100111,shp-10-03,1
78933020,10,1,East - 10 Van Horne towards Victoria Park,,1,100112,shp-10-03,1
92890020,10,1,East - 10 Van Horne towards Victoria Park,,1,100112,shp-10-03,1
31945020,10,1,Not In Service,,0,100112,shp-10-51,1
84248020,10,1,Not In Service,,0,100111,shp-10-51,1
29410020,10,1,Not In Service,,1,100111,shp-10-02,1
17872020,10,1,Not In Service,,1,100112,shp-10-01,1
16369020,10,1,West - 10 Van Horne towards Don Mills Station,,0,100111,shp-10-52,1
2521020,10,1,West - 10 Van Horne towards Don Mills Station,,0,100112,shp-10-52,1
16717020,10,1,West - 10 Van Horne towards Don Mills Station,,0,100111,shp-10-52,1
1982020,10,1,West - 10 Van Horne towards Don Mills Station,,0,100112,shp-10-52,1
100440020,10,1,West - 10 Van Horne towards Don Mills Station,,0,100111,shp-10-52,1
26371020,10,1,West - 10 Van Horne towards Don Mills Station,,0,100112,shp-10-52,1
70506020,10,1,West - 10 Van Horne towards Don Mills Station,,0,100111,shp-10-52,1
37728020,10,1,West - 10 Van Horne towards Don Mills Station,,0,100111,shp-10-52,1
70559020,10,1,West - 10 Van Horne towards Don Mills Station,,0,100111,shp-10-52,1
72787020,10,1,West - 10 Van Horne towards Don Mills Station,,0,100112,shp-10-52,1
55979020,10,1,West - 10 Van Horne towards Don Mills Station,,0,100111,shp-10-52,1
53152020,10,1,West - 10 Van Horne towards Don Mills Station,,0,100112,shp-10-52,1
5196020,10,1,West - 10 Van Horne towards Don Mills Station,,0,100112,shp-10-52,1
57590020,10,1,West - 10 Van Horne towards Don Mills Station,,0,100111,shp-10-52,1
77503020,10,1,West - 10 Van Horne towards Don Mills Station,,0,100111,shp-10-52,1
5502020,10,1,West - 10 Van Horne towards Don Mills Station,,0,100112,shp-10-52,1
88631020,10,1,West - 10 Van Horne towards Don Mills Station,,0,100112,shp-10-52,1
84146020,10,1,West - 10 Van Horne towards Don Mills Station,,0,100112,shp-10-52,1
81456020,10,1,West - 10 Van Horne towards Don Mills Station,,0,100112,shp-10-52,1
88596020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,10015152,shp-100-02,1
79177020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,10015152,shp-100-02,1
87823070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1008870,shp-100-02,1
79288020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000110,shp-100-02,1
