report_date,lat_wgs84,long_wgs84,division,MCI,MCI_CATEGORY
2025-10-15 08:15:00,43.660600,-79.387800,52,Assault,Assault
2025-10-15 08:40:00,43.660200,-79.387300,52,Robbery,Robbery
2025-10-15 09:10:00,43.660450,-79.387650,52,Break and Enter,Break and Enter
2025-11-02 13:05:00,43.660300,-79.387900,51,Theft Over,Theft Over
2025-11-02 13:35:00,43.660500,-79.387500,51,Auto Theft,Auto Theft
2025-11-02 14:10:00,43.660250,-79.387450,51,Assault,Assault
2025-12-10 17:20:00,43.638900,-79.387250,14,Assault,Assault
2025-12-10 17:55:00,43.638600,-79.387050,14,Robbery,Robbery
2025-12-10 18:10:00,43.638800,-79.387400,14,Theft Over,Theft Over
2025-12-28 21:05:00,43.739950,-79.413750,52,Assault,Assault
2025-12-28 21:25:00,43.739700,-79.413400,52,Robbery,Robbery
2025-12-28 21:50:00,43.739850,-79.413550,52,Break and Enter,Break and Enter
2026-01-10 10:05:00,43.671150,-79.433300,51,Assault,Assault
2026-01-10 10:35:00,43.671000,-79.433150,51,Robbery,Robbery
2026-01-10 11:15:00,43.671100,-79.433250,51,Theft Over,Theft Over
